"","PC1","PC2","PC3"
"1",-0.771902858536318,3.8756505764309,-0.181349733041143
"2",2.41152063262111,-0.830961751781802,0.431963740506985
"3",2.41494955306802,-0.827126846132281,-1.25306111692197
"4",2.75583767608388,0.963668301397568,-0.981566717483489
"5",-3.98918130205803,-0.190994321944582,0.0810108593782942
"6",-1.01031777087364,-0.801476134062785,-0.122006632457928
"7",-2.64187974497154,-0.718930287038866,-1.76795315806957
"8",0.827390319642402,-1.37008231926001,0.229579658124046
"9",-0.834426287170095,-1.15459270727676,1.41059375916095
"10",0.757072544898881,1.40663191586672,1.31847822276643
"11",0.0809372372953274,-0.3517864261981,0.834311118037405
